Yb	Pb	Ca	Ti	Mo	Sn	Cd	Ag	La	Cs	W	Sb	Ta	V	Fe	Bi	Ce	Nb	Cu	I	B	Te	Al	Zr	Gd	Na	Ga	Cl	S	Si	O	F	Mn	Ba	K	Zn	N	Li	Ge	Y	Sr	P	Mg	Er	As	Tg	target	predicted_target	predicted_Tg
0.0	0.0	0.09378406065648842	0.003922437027457059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021301330149109312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08911562062380934	0.0	0.0	0.012998730090991107	0.0	0.0	0.0	0.1407925009855475	0.5983654041885578	0.0	0.0	0.0	0.001900661013304627	0.0	0.0	0.0	0.0	0.0	0.0	0.002837995019865965	0.03498126024486882	0.0	0.0	1073.15	0.7390585723632105	0.6680351	970.0204
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666668333333165	0.0	0.0	0.0	0.0	0.1527777847222215	0.0	0.0	0.0	0.11805558819444115	0.5624999437500056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	788.15	0.5427843393822525	0.54162467	786.4661
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049068123012699284	0.0	0.06503487073903441	0.0	0.0	0.004539060353637805	0.0	0.0	0.0	0.20066647142509447	0.6288244104554039	0.0	0.0	0.0	0.0	0.009875779593688985	0.0	0.0013449708084761571	0.0	0.005339370239673679	0.0	0.0	0.034900665030145286	0.0	0.00040627834214596406	973.15	0.6701904204400673	0.66204476	961.32214
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073740256326914	0.0	0.002313010198456276	0.0002452912210459868	0.031552862707235625	0.0	0.0	0.0	0.0	0.005379753461582848	0.0	0.0	0.14378351233662534	0.0	0.0	0.017407871493595375	0.01972497169240257	0.0	0.0	0.0	0.0	0.03808193326742988	0.6081577521799351	0.0	0.0	0.0	0.0	0.02372015203518905	0.0	0.035892633079587934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	871.15	0.5999449054784614	0.5931753	861.3202
0.0	0.004882629595718268	0.009716493195474364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044861676285453203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028175457667072107	0.0	0.008550698292002182	0.0	0.0	0.10690519114825016	0.0	0.0	0.0	0.2259888812881207	0.5926695509269613	0.0	0.0	0.00568596752920189	0.011568979042088536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005407534552256139	0.0	0.0	709.15	0.48837849936296945	0.53274155	773.5674
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09927651801446964	0.0	0.0	0.0	0.0	0.0	0.2419613951607721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5996784880064302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059083598818328024	0.0	0.0	0.0	0.0	0.0	867.15	0.5971901794015356	0.5893298	855.7363
0.0	0.1587308955555349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0317461891111067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285619600002653	0.34285559040004343	0.31746189111106704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00634923782222134	0.0	590.15	0.4064253985744291	0.40164992	583.21576
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02497812875109356	0.0	0.0	0.0	0.0	0.0	0.0	0.08758737562063121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08211184589440769	0.0	0.0	0.0	0.0	0.6260078686996066	0.0	0.0	0.0	0.0	0.018687129065643543	0.0	0.06460356676982165	0.0	0.0	0.0	0.09602408519879573	0.0	0.0	0.0	759.15	0.522812575324541	0.5116994	743.0131
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04416782469986103	0.0	0.015610718126713824	0.0	0.03197733616271965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6249243250090809	0.0	0.0	0.0	0.09946251806449782	0.0	0.0	0.0	0.0	0.0	0.0	0.1838572779371266	0.0	0.0	0.0	656.15	0.4518783788437036	0.45385605	659.0217
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03557047320134259	0.0	0.0	0.06577181591946342	0.0	0.0	0.0	0.2315436208389259	0.6026845542416099	0.0	0.0	0.0	0.02214765199328868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042281883805369534	0.0	0.0	875.15	0.602699631555387	0.60751116	882.1366
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2537313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5074627	0.119403	0.0	0.0	0.119403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	498.15	0.34306669880513746	0.34701827	503.8879
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13319080133190805	0.0	0.0	0.0	0.0	0.0	0.13198950131989504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.638176706381767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0966429909664299	0.0	0.0	0.0	513.15	0.3533969215936089	0.34879443	506.46698
0.0	0.0	0.00032660748122006984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12995929252734068	0.0	0.00898149148356424	0.0	0.0	0.04018918768912171	0.0	0.0	0.0	0.19051768904523286	0.6167385645375325	0.0	0.0	0.0	0.012832749262116914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004544179738709664	0.0	0.0	715.15	0.49251058847835805	0.5273515	765.7408
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25628139743718603	0.0	0.07537687924623122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5829145941708541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08542712914572871	0.0	0.0	0.0	0.0	861.15	0.593058090286147	0.5837424	847.62317
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07272727290909092	0.0	0.0	0.0	0.0	0.0	0.0	0.02272727090909084	0.0	0.02727273109090924	0.0	0.0	0.20000000800000034	0.034090911363636456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6113636244545451	0.0	0.0	0.0	0.0	0.03181818127272725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	833.15	0.5737750077476669	0.57192785	830.46783
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3562065035620651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5890516058905161	0.0	0.0	0.05474189054741892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	862.15	0.5937467718053784	0.5691105	826.37695
0.0	0.0	0.02214402176266413	7.77300061873085e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0367000825213266e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02029831161574561	0.0	0.0	0.10018070797438436	0.0	5.837650464676978e-05	0.0005686869452674807	0.2369869188641588	0.5979644475979701	0.0	0.0	0.0	0.004394301349786387	0.0	0.0	0.0	0.0	0.0	0.00199733215898764	0.0	0.015405081226244462	0.0	0.0	821.15	0.5655108295168897	0.5533028	803.4234
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.397265380136731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2328798883560056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28766558561672073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0821891458905427	0.0	0.0	0.0	322.15	0.22185875142040556	0.23366128	339.28787
0.0	0.013894519444219223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02255349909786004	0.0	0.03383004864679805	0.0	0.0	0.0628272974869081	0.0	0.0	0.0	0.0	0.6123651755053929	0.0	0.0	0.0	0.07692096692316132	0.0	0.0	0.0	0.0	0.0	0.0	0.1776084928956603	0.0	0.0	0.0	634.15	0.4367273854206121	0.43782827	635.74854
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08602207258066218	0.0	0.0	0.0	0.0	0.0	0.0	0.2150531064515932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5913982177419465	0.0	0.0	0.0	0.0	0.0	0.0	0.10752660322579807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	578.15	0.3981612203436519	0.4217251	612.36597
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2533813949323721	0.0	0.11271419774571605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5915238881695223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04238051915238962	0.0	0.0	920.15	0.6336902999208014	0.62481153	907.2576
0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.15	0.4339726593436864	0.42152363	612.0734
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0821917808219178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0821917808219178	0.0	0.0	0.0	0.0	0.0	0.0	0.13698630136986306	0.3972603039726031	0.28767120287671205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	928.15	0.6391997520746528	0.61272824	889.7121
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038394766314102428	0.0	0.0	0.0014304838626735489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05989355425021878	0.0	0.07361273293317762	0.0	0.0	0.0	0.0	0.0	0.0	0.17349688334429916	0.6219693402909432	0.0	0.0	0.0067989973472962545	0.0	0.005123239508169007	0.0	0.0	0.0	0.0	0.0	0.0	0.05172761503414895	0.0	0.002107676797663027	943.15	0.6495299748631244	0.6677029	969.538
